"Temperature","Humidity","Rainfall"
"22.83855","98","0"
"22.82855","98","1"
"22.868551","98","1"
"22.818552","98","0"
"22.708551","98","0"
"22.708551","97","0"
"23.228552","94","0"
"24.298552","88","1"
"25.198551","83","1"
"25.99855","83","1"
"25.108551","82","1"
"26.66855","79","1"
"25.18855","81","0"
"24.90855","81","1"
"24.608551","82","1"
"24.298552","84","1"
"24.218552","88","0"
"23.09855","92","0"
"22.92855","94","0"
"22.93855","95","0"
"22.788551","98","0"
"22.93855","97","0"
"22.82855","97","0"
"22.74855","97","0"
"22.67855","97","1"
"22.738552","97","1"
"22.65855","98","1"
"22.728552","98","1"
"22.718552","98","1"
"22.57855","97","0"
"22.91855","93","0"
"24.34855","86","0"
"25.818552","83","1"
"26.40855","79","1"
"25.26855","78","1"
"25.038551","80","1"
"25.788551","76","0"
"26.548552","73","0"
"25.41855","78","1"
"25.118551","81","0"
"24.808552","84","1"
"23.888552","89","0"
"23.238552","91","0"
"23.07855","94","1"
"23.068552","96","1"
"23.15855","97","0"
"22.978552","98","0"
"22.888552","98","0"
"22.75855","98","0"
"22.66855","97","0"
"22.638552","97","0"
"22.57855","97","0"
"22.40855","97","0"
"22.26855","97","0"
"22.90855","92","0"
"24.058552","86","1"
"25.048552","81","1"
"25.65855","77","1"
"25.208551","78","1"
"25.128551","78","0"
"24.93855","79","0"
"24.718552","81","1"
"24.788551","80","1"
"24.728552","81","1"
"24.718552","83","1"
"23.17855","88","0"
"22.548552","93","0"
"22.118551","97","0"
"22.298552","96","0"
"22.398552","97","0"
"22.34855","96","0"
"22.228552","96","0"
"22.108551","96","0"
"22.058552","96","0"
"22.00855","97","1"
"21.948551","97","0"
"21.898552","97","1"
"21.948551","97","1"
"22.898552","93","0"
"23.368551","94","1"
"23.84855","94","1"
"23.67855","92","1"
"23.58855","89","1"
"24.128551","89","0"
"24.728552","83","0"
"25.048552","80","0"
"25.038551","79","0"
"25.25855","78","0"
"24.968552","79","0"
"23.83855","84","0"
"23.208551","88","0"
"22.458551","92","0"
"21.75855","96","0"
"21.728552","96","0"
"21.448551","97","0"
